agency_cd,site_no,datetime,discharge.max,discharge.max.approval,discharge.min,discharge.min.approval,discharge.mean,discharge.mean.approval,gage.height.max,gage.height.max.approval,gage.height.min,gage.height.min.approval,gage.height.mean,gage.height.mean.approval
USGS,2085000,4/12/1928,NA,,NA,,277,A,NA,,NA,,NA,
USGS,2085000,4/13/1928,NA,,NA,,113,A,NA,,NA,,NA,
USGS,2085000,4/14/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,4/15/1928,NA,,NA,,170,A,NA,,NA,,NA,
USGS,2085000,4/16/1928,NA,,NA,,113,A,NA,,NA,,NA,
USGS,2085000,4/17/1928,NA,,NA,,80,A,NA,,NA,,NA,
USGS,2085000,4/18/1928,NA,,NA,,64,A,NA,,NA,,NA,
USGS,2085000,4/19/1928,NA,,NA,,55,A,NA,,NA,,NA,
USGS,2085000,4/20/1928,NA,,NA,,61,A,NA,,NA,,NA,
USGS,2085000,4/21/1928,NA,,NA,,65,A,NA,,NA,,NA,
USGS,2085000,4/22/1928,NA,,NA,,130,A,NA,,NA,,NA,
USGS,2085000,4/23/1928,NA,,NA,,113,A,NA,,NA,,NA,
USGS,2085000,4/24/1928,NA,,NA,,208,A,NA,,NA,,NA,
USGS,2085000,4/25/1928,NA,,NA,,86,A,NA,,NA,,NA,
USGS,2085000,4/26/1928,NA,,NA,,67,A,NA,,NA,,NA,
USGS,2085000,4/27/1928,NA,,NA,,664,A,NA,,NA,,NA,
USGS,2085000,4/28/1928,NA,,NA,,1520,A,NA,,NA,,NA,
USGS,2085000,4/29/1928,NA,,NA,,208,A,NA,,NA,,NA,
USGS,2085000,4/30/1928,NA,,NA,,158,A,NA,,NA,,NA,
USGS,2085000,5/1/1928,NA,,NA,,130,A,NA,,NA,,NA,
USGS,2085000,5/2/1928,NA,,NA,,102,A,NA,,NA,,NA,
USGS,2085000,5/3/1928,NA,,NA,,80,A,NA,,NA,,NA,
USGS,2085000,5/4/1928,NA,,NA,,69,A,NA,,NA,,NA,
USGS,2085000,5/5/1928,NA,,NA,,58,A,NA,,NA,,NA,
USGS,2085000,5/6/1928,NA,,NA,,52,A,NA,,NA,,NA,
USGS,2085000,5/7/1928,NA,,NA,,47,A,NA,,NA,,NA,
USGS,2085000,5/8/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,5/9/1928,NA,,NA,,69,A,NA,,NA,,NA,
USGS,2085000,5/10/1928,NA,,NA,,56,A,NA,,NA,,NA,
USGS,2085000,5/11/1928,NA,,NA,,49,A,NA,,NA,,NA,
USGS,2085000,5/12/1928,NA,,NA,,46,A,NA,,NA,,NA,
USGS,2085000,5/13/1928,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,5/14/1928,NA,,NA,,43,A,NA,,NA,,NA,
USGS,2085000,5/15/1928,NA,,NA,,40,A,NA,,NA,,NA,
USGS,2085000,5/16/1928,NA,,NA,,37,A,NA,,NA,,NA,
USGS,2085000,5/17/1928,NA,,NA,,33,A,NA,,NA,,NA,
USGS,2085000,5/18/1928,NA,,NA,,44,A,NA,,NA,,NA,
USGS,2085000,5/19/1928,NA,,NA,,49,A,NA,,NA,,NA,
USGS,2085000,5/20/1928,NA,,NA,,74,A,NA,,NA,,NA,
USGS,2085000,5/21/1928,NA,,NA,,52,A,NA,,NA,,NA,
USGS,2085000,5/22/1928,NA,,NA,,38,A,NA,,NA,,NA,
USGS,2085000,5/23/1928,NA,,NA,,36,A,NA,,NA,,NA,
USGS,2085000,5/24/1928,NA,,NA,,34,A,NA,,NA,,NA,
USGS,2085000,5/25/1928,NA,,NA,,33,A,NA,,NA,,NA,
USGS,2085000,5/26/1928,NA,,NA,,39,A,NA,,NA,,NA,
USGS,2085000,5/27/1928,NA,,NA,,33,A,NA,,NA,,NA,
USGS,2085000,5/28/1928,NA,,NA,,37,A,NA,,NA,,NA,
USGS,2085000,5/29/1928,NA,,NA,,33,A,NA,,NA,,NA,
USGS,2085000,5/30/1928,NA,,NA,,31,A,NA,,NA,,NA,
USGS,2085000,5/31/1928,NA,,NA,,30,A,NA,,NA,,NA,
USGS,2085000,6/1/1928,NA,,NA,,28,A,NA,,NA,,NA,
USGS,2085000,6/2/1928,NA,,NA,,26,A,NA,,NA,,NA,
USGS,2085000,6/3/1928,NA,,NA,,51,A,NA,,NA,,NA,
USGS,2085000,6/4/1928,NA,,NA,,353,A,NA,,NA,,NA,
USGS,2085000,6/5/1928,NA,,NA,,517,A,NA,,NA,,NA,
USGS,2085000,6/6/1928,NA,,NA,,182,A,NA,,NA,,NA,
USGS,2085000,6/7/1928,NA,,NA,,91,A,NA,,NA,,NA,
USGS,2085000,6/8/1928,NA,,NA,,55,A,NA,,NA,,NA,
USGS,2085000,6/9/1928,NA,,NA,,37,A,NA,,NA,,NA,
USGS,2085000,6/10/1928,NA,,NA,,34,A,NA,,NA,,NA,
USGS,2085000,6/11/1928,NA,,NA,,47,A,NA,,NA,,NA,
USGS,2085000,6/12/1928,NA,,NA,,38,A,NA,,NA,,NA,
USGS,2085000,6/13/1928,NA,,NA,,35,A,NA,,NA,,NA,
USGS,2085000,6/14/1928,NA,,NA,,32,A,NA,,NA,,NA,
USGS,2085000,6/15/1928,NA,,NA,,29,A,NA,,NA,,NA,
USGS,2085000,6/16/1928,NA,,NA,,27,A,NA,,NA,,NA,
USGS,2085000,6/17/1928,NA,,NA,,25,A,NA,,NA,,NA,
USGS,2085000,6/18/1928,NA,,NA,,24,A,NA,,NA,,NA,
USGS,2085000,6/19/1928,NA,,NA,,22,A,NA,,NA,,NA,
USGS,2085000,6/20/1928,NA,,NA,,20,A,NA,,NA,,NA,
USGS,2085000,6/21/1928,NA,,NA,,18,A,NA,,NA,,NA,
USGS,2085000,6/22/1928,NA,,NA,,16,A,NA,,NA,,NA,
USGS,2085000,6/23/1928,NA,,NA,,14,A,NA,,NA,,NA,
USGS,2085000,6/24/1928,NA,,NA,,16,A,NA,,NA,,NA,
USGS,2085000,6/25/1928,NA,,NA,,17,A,NA,,NA,,NA,
USGS,2085000,6/26/1928,NA,,NA,,16,A,NA,,NA,,NA,
USGS,2085000,6/27/1928,NA,,NA,,16,A,NA,,NA,,NA,
USGS,2085000,6/28/1928,NA,,NA,,15,A,NA,,NA,,NA,
USGS,2085000,6/29/1928,NA,,NA,,28,A,NA,,NA,,NA,
USGS,2085000,6/30/1928,NA,,NA,,22,A,NA,,NA,,NA,
USGS,2085000,7/1/1928,NA,,NA,,20,A,NA,,NA,,NA,
USGS,2085000,7/2/1928,NA,,NA,,18,A,NA,,NA,,NA,
USGS,2085000,7/3/1928,NA,,NA,,16,A,NA,,NA,,NA,
USGS,2085000,7/4/1928,NA,,NA,,14,A,NA,,NA,,NA,
USGS,2085000,7/5/1928,NA,,NA,,13,A,NA,,NA,,NA,
USGS,2085000,7/6/1928,NA,,NA,,12,A,NA,,NA,,NA,
USGS,2085000,7/7/1928,NA,,NA,,11,A,NA,,NA,,NA,
USGS,2085000,7/8/1928,NA,,NA,,11,A,NA,,NA,,NA,
